date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2022-02-06,2022-02-12,Best Colleges,False,31.0,28.0,,,
2022-02-06,2022-02-12,Trade School,False,10.0,8.833333333333334,,,
2022-02-13,2022-02-19,AI Porn,False,2.0,2.0,,,
2022-02-13,2022-02-19,Best Colleges,False,31.0,28.416666666666668,,,
2022-02-13,2022-02-19,Trade School,False,9.0,9.0,,,
2022-02-20,2022-02-26,AI Porn,False,2.0,2.0,,,
2022-02-20,2022-02-26,Best Colleges,False,33.0,28.916666666666668,,,
2022-02-20,2022-02-26,Trade School,False,9.0,8.916666666666666,,,
2022-02-27,2022-03-05,AI Porn,False,2.0,2.0,,,
2022-02-27,2022-03-05,Best Colleges,False,33.0,29.58333333333333,,,
2022-02-27,2022-03-05,Trade School,False,10.0,9.0,,,
2022-03-06,2022-03-12,AI Porn,False,1.0,1.9166666666666667,,,
2022-03-06,2022-03-12,Best Colleges,False,33.0,30.25,,,
2022-03-06,2022-03-12,Trade School,False,9.0,9.0,,,
2022-03-13,2022-03-19,AI Porn,False,2.0,1.9166666666666667,,,
2022-03-13,2022-03-19,Best Colleges,False,35.0,31.166666666666668,,,
2022-03-13,2022-03-19,Trade School,False,9.0,9.166666666666666,,,
2022-03-20,2022-03-26,AI Porn,False,2.0,1.9166666666666667,,,
2022-03-20,2022-03-26,Best Colleges,False,38.0,32.333333333333336,,,
2022-03-20,2022-03-26,Trade School,False,10.0,9.416666666666666,,,
2022-03-27,2022-04-02,AI Porn,False,2.0,1.9166666666666667,,,
2022-03-27,2022-04-02,Best Colleges,False,40.0,33.083333333333336,,,
2022-03-27,2022-04-02,Trade School,False,9.0,9.416666666666666,,,
2022-04-03,2022-04-09,AI Porn,False,1.0,1.8333333333333333,,,
2022-04-03,2022-04-09,Best Colleges,False,41.0,33.916666666666664,,,
2022-04-03,2022-04-09,Trade School,False,10.0,9.5,,,
2022-04-10,2022-04-16,AI Porn,False,2.0,1.8333333333333333,,,
2022-04-10,2022-04-16,Best Colleges,False,40.0,34.833333333333336,,,
2022-04-10,2022-04-16,Trade School,False,10.0,9.583333333333334,,,
2022-04-17,2022-04-23,AI Porn,False,2.0,1.8333333333333333,,,
2022-04-17,2022-04-23,Best Colleges,False,42.0,35.666666666666664,,,
2022-04-17,2022-04-23,Trade School,False,10.0,9.583333333333334,,,
2022-04-24,2022-04-30,AI Porn,False,2.0,1.8333333333333333,,,
2022-04-24,2022-04-30,Best Colleges,False,44.0,36.75,,,
2022-04-24,2022-04-30,Trade School,False,10.0,9.583333333333334,,,
2022-05-01,2022-05-07,AI Porn,False,2.0,1.8333333333333333,,,
2022-05-01,2022-05-07,Best Colleges,False,41.0,37.583333333333336,,,
2022-05-01,2022-05-07,Trade School,False,10.0,9.583333333333334,,,
2022-05-08,2022-05-14,AI Porn,False,2.0,1.8333333333333333,,,
2022-05-08,2022-05-14,Best Colleges,False,38.0,38.16666666666666,,,
2022-05-08,2022-05-14,Trade School,False,10.0,9.666666666666666,,,
2022-05-15,2022-05-21,AI Porn,False,2.0,1.8333333333333333,,,
2022-05-15,2022-05-21,Best Colleges,False,41.0,38.833333333333336,,,
2022-05-15,2022-05-21,Trade School,False,10.0,9.75,,,
2022-05-22,2022-05-28,AI Porn,False,2.0,1.8333333333333333,,,
2022-05-22,2022-05-28,Best Colleges,False,42.0,39.583333333333336,,,
2022-05-22,2022-05-28,Trade School,False,9.0,9.666666666666666,,,
2022-05-29,2022-06-04,AI Porn,False,2.0,1.9166666666666667,,,
2022-05-29,2022-06-04,Best Colleges,False,42.0,40.333333333333336,,,
2022-05-29,2022-06-04,Trade School,False,8.0,9.583333333333334,,,
2022-06-05,2022-06-11,AI Porn,False,2.0,1.9166666666666667,,,
2022-06-05,2022-06-11,Best Colleges,False,46.0,41.25,,,
2022-06-05,2022-06-11,Trade School,False,9.0,9.583333333333334,,,
2022-06-12,2022-06-18,AI Porn,False,2.0,1.9166666666666667,,,
2022-06-12,2022-06-18,Best Colleges,False,47.0,42.0,,,
2022-06-12,2022-06-18,Trade School,False,8.0,9.416666666666666,,,
2022-06-19,2022-06-25,AI Porn,False,2.0,1.9166666666666667,,,
2022-06-19,2022-06-25,Best Colleges,False,59.0,43.583333333333336,,,
2022-06-19,2022-06-25,Trade School,False,8.0,9.333333333333334,,,
2022-06-26,2022-07-02,AI Porn,False,2.0,2.0,,,
2022-06-26,2022-07-02,Best Colleges,False,48.0,44.16666666666666,,,
2022-06-26,2022-07-02,Trade School,False,7.0,9.083333333333334,,,
2022-07-03,2022-07-09,AI Porn,False,2.0,2.0,,,
2022-07-03,2022-07-09,Best Colleges,False,49.0,44.91666666666666,,,
2022-07-03,2022-07-09,Trade School,False,7.0,8.833333333333334,,,
2022-07-10,2022-07-16,AI Porn,False,2.0,2.0,,,
2022-07-10,2022-07-16,Best Colleges,False,49.0,45.5,,,
2022-07-10,2022-07-16,Trade School,False,8.0,8.666666666666666,,,
2022-07-17,2022-07-23,AI Porn,False,2.0,2.0,,,
2022-07-17,2022-07-23,Best Colleges,False,54.0,46.333333333333336,,,
2022-07-17,2022-07-23,Trade School,False,8.0,8.5,,,
2022-07-24,2022-07-30,AI Porn,False,2.0,2.0,1.9423076923076923,,
2022-07-24,2022-07-30,Best Colleges,False,53.0,47.333333333333336,37.15384615384615,,
2022-07-24,2022-07-30,Trade School,False,8.0,8.333333333333334,9.23076923076923,,
2022-07-31,2022-08-06,AI Porn,False,2.0,2.0,1.9423076923076923,,
2022-07-31,2022-08-06,Best Colleges,False,49.0,48.25,37.19230769230769,,
2022-07-31,2022-08-06,Trade School,False,9.0,8.25,9.25,,
2022-08-07,2022-08-13,AI Porn,False,2.0,2.0,1.9423076923076923,,
2022-08-07,2022-08-13,Best Colleges,False,44.0,48.5,37.15384615384615,,
2022-08-07,2022-08-13,Trade School,False,8.0,8.083333333333334,9.23076923076923,,
2022-08-14,2022-08-20,AI Porn,False,2.0,2.0,1.9423076923076923,,
2022-08-14,2022-08-20,Best Colleges,False,45.0,48.75,37.23076923076923,,
2022-08-14,2022-08-20,Trade School,False,11.0,8.25,9.211538461538462,,
2022-08-21,2022-08-27,AI Porn,False,2.0,2.0,1.9423076923076923,,
2022-08-21,2022-08-27,Best Colleges,False,47.0,49.16666666666666,37.36538461538461,,
2022-08-21,2022-08-27,Trade School,False,12.0,8.583333333333334,9.25,,
2022-08-28,2022-09-03,AI Porn,False,2.0,2.0,1.9615384615384612,,
2022-08-28,2022-09-03,Best Colleges,False,42.0,48.833333333333336,37.42307692307692,,
2022-08-28,2022-09-03,Trade School,False,13.0,8.916666666666666,9.307692307692308,,
2022-09-04,2022-09-10,AI Porn,False,2.0,2.0,1.9615384615384612,,
2022-09-04,2022-09-10,Best Colleges,False,43.0,48.5,37.55769230769231,,
2022-09-04,2022-09-10,Trade School,False,10.0,9.083333333333334,9.307692307692308,,
2022-09-11,2022-09-17,AI Porn,False,3.0,2.083333333333333,1.9807692307692308,,
2022-09-11,2022-09-17,Best Colleges,False,53.0,48.0,37.73076923076923,,
2022-09-11,2022-09-17,Trade School,False,11.0,9.333333333333334,9.307692307692308,,
2022-09-18,2022-09-24,AI Porn,False,2.0,2.083333333333333,1.9807692307692308,,
2022-09-18,2022-09-24,Best Colleges,False,43.0,47.583333333333336,37.80769230769231,,
2022-09-18,2022-09-24,Trade School,False,10.0,9.583333333333334,9.307692307692308,,
