scenario,current_federal_corporate_rate_pct,historical_max_federal_corporate_rate_pct,rate_increase_percentage_points,positive_pretax_income_proxy_trillions,incremental_static_tax_receipts_trillions,current_public_company_net_income_trillions,stressed_public_company_net_income_trillions,public_company_net_income_decline_pct,pe_multiple_change_pct,current_public_equity_market_cap_trillions,stressed_public_equity_market_cap_trillions,market_cap_destruction_trillions,market_cap_destruction_pct,cbo_fy2026_deficit_trillions,cbo_fy2026_outlays_trillions,incremental_receipts_pct_of_deficit,incremental_receipts_pct_of_outlays,remaining_deficit_after_static_receipts_trillions,market_cap_destroyed_per_incremental_tax_dollar
constant_multiple,21.0,52.8,31.800000000000004,3.653308613519,1.1617521390990422,2.6492901719300743,1.487538032831032,43.85144939607263,0,80.6684737,45.29417877686035,35.37429492313966,43.85144939607263,1.852703,7.448619,62.70579467400021,15.596879624250375,0.6909508609009578,30.449089554139324
pe_multiple_10pct_lower,21.0,52.8,31.800000000000004,3.653308613519,1.1617521390990422,2.6492901719300743,1.487538032831032,43.85144939607263,-10,80.6684737,40.76476089917431,39.903712800825694,49.46630445646536,1.852703,7.448619,62.70579467400021,15.596879624250375,0.6909508609009578,34.34787116619529
pe_multiple_20pct_lower,21.0,52.8,31.800000000000004,3.653308613519,1.1617521390990422,2.6492901719300743,1.487538032831032,43.85144939607263,-20,80.6684737,36.23534302148828,44.43313067851172,55.0811595168581,1.852703,7.448619,62.70579467400021,15.596879624250375,0.6909508609009578,38.24665277825126
