,ticker,pct_weight,tag,article_details,initial_trade_date,week_open,week_close,pct_change,contribution
37,HYG,-0.08,virus,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,87.4,87.37,-0.00034324942791763314,2.745995423341065e-05
38,TIP,0.06,virus,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,127.49,126.79,-0.00549062671582076,-0.00032943760294924557
39,DBA,0.015,commod_inflation,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,16.32,16.14,-0.011029411764705864,-0.00016544117647058796
40,VNM,0.025,commod_inflation,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,17.6,18.42,0.046590909090909106,0.0011647727272727276
41,EEMV,-0.04,commod_inflation,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,61.87,63.44,0.025375787942460003,-0.0010150315176984002
42,FXB,0.04,uk_tech,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,131.68,131.0666,-0.004658262454435091,-0.00018633049817740364
43,USIG,0.1,steepener,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,61.91,61.16,-0.01211435955419157,-0.001211435955419157
44,VCLT,-0.06,steepener,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,110.6257,108.01,-0.02364459614718813,0.0014186757688312878
45,BUG,0.03,cyber_security,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,28.48,28.55,0.0024578651685393357,7.373595505618007e-05
46,CHTR,-0.015,cyber_security,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,666.59,634.38,-0.04832055686403942,0.0007248083529605913
47,VZ,-0.015,cyber_security,http://goodalexander.com/2021/01/02/new-beginnings/,2021-01-04,58.96,57.8,-0.01967435549525108,0.0002951153324287662
